"Well","Plate","Sample","Conc..ng.uL.","Water","DNA","Final.volume","Final.concentration","Sample.Type...water.sediment..etc.","Collection.time","Collection.date","Filtered.Date..for.water.samples.","Collection.Location..Site.Area..etc.","Collected.By","Depth..m.","Latitude","Longitude","Comments","Dilution.factor"
"H7","Plate 2","121A",0.343,0,"30",30,0.34,"Seawater","10:10","3/03/2021","3/03/2021","CTD 45","Liv","2489","-65.91783",69.99233,"",1
"A8","Plate 2","171A",0.813,0,"30",30,0.81,"Seawater","20:32","11/03/2021","11/03/2021","CTD 65","Derek","3530","-65.18183",79.99967,"",1
"D8","Plate 2","165A",17.3,28.5,"1.5",30,0.87,"Seawater","0:59","11/03/2021","11/03/2021","CTD 62","Maddie","5","-64.25692",79.9981,"",0.05
"E8","Plate 2","094A",19.8,26,"4",30,2.64,"Seawater","23:56","25/02/2021","25/02/2021","CTD 29","Maddie","5","-64.00015",64.99983,"",0.133333333
"G8","Plate 2","EC7",0,0,"30",30,0,"","","","","","","","",NA,"",1
"H8","Plate 2","151A",10.3,22.5,"7.5",30,2.58,"Seawater","22:57","8/03/2021","8/03/2021","TT 15","Derek","surface","-62.98983",76.16233,"",0.25
"A9","Plate 2","128A",0.767,0,"30",30,0.77,"Seawater","9:39","5/03/2021","5/03/2021","CTD 48","Maddie","5","-67.67687",74.64172,"",1
"B9","Plate 2","101A",0.427,0,"30",30,0.43,"Seawater","21:23","28/02/2021","28/02/2021","CTD 36","Maddie","3700","-63.49965",70.00285,"",1
"D9","Plate 2","120A",0,0,"30",30,0,"MilliQ water","","3/03/2021","3/03/2021","MilliQ","Liv","","",NA,"quantification out of range",1
"E9","Plate 2","130A",0,0,"30",30,0,"MilliQ water","","5/03/2021","5/03/2021","MilliQ","Maddie","","",NA,"quantification out of range",1
"F9","Plate 2","071A",17.4,25.5,"4.5",30,2.61,"Seawater","15:32","20/02/2021","20/02/2021","CTD 18","Derek","5","-66.40185",60.249,"",0.15
"G9","Plate 2","139A",2.57,0,"30",30,2.57,"Seawater","17:25","6/03/2021","6/03/2021","CTD 53","Jez","5","-66.49948",75.00257,"",1
"B10","Plate 2","172A",32.1,27.5,"2.5",30,2.68,"Seawater","22:06","11/03/2021","11/03/2021","CTD 65","Derek","5","-65.18033",80.0005,"",0.083333333
"D10","Plate 2","100A",0,0,"30",30,0,"MilliQ water","","28/02/2021","28/02/2021","MilliQ","Jess/Mads","","",NA,"quantification out of range",1
"E10","Plate 2","058A",0.13,0,"30",30,0.13,"Seawater","20:10","18/02/2021","18/02/2021","CTD 13","Mad/Jess/Liv","4300","-64.49935",59.99935,"",1
"G10","Plate 2","065A",0.117,0,"30",30,0.12,"Seawater","2:10","20/02/2021","20/02/2021","CTD 16","Jed/Dez","5","-65.61113",59.98118,"",1
"A11","Plate 2","107A",0.713,0,"30",30,0.71,"Seawater","21:45","1/03/2021","2/03/2021","CTD 39","Maddie","3383","-64.41675",69.9529,"",1
"F11","Plate 2","048A",0.149,0,"30",30,0.15,"Seawater","12.55","13/02/2021","13/02/2021","CTD 002","Liv/Liss/Christine/Mads","960","-65.525",55.498,"",1
"H11","Plate 2","054A",0.142,0,"30",30,0.14,"Seawater","2:34","18/02/2021","18/02/2021","CTD 11","Christine/Liv/Liss","4422","-63.485",60.015,"",1
"A12","Plate 2","132A",0.667,0,"30",30,0.67,"Seawater","1:15","6/03/2021","6/03/2021","CTD 50","Jez/Dez","381","-66.95377",75.0081,"",1
