"Well","Omit","Sample","Target","Task","Dyes","Cq","Cq.Conf","Amp.Score","Amp.Status","Annotated","Baseline.Start","Baseline.End","Tm1","Tm2","Tm3","Tm4","Curve.Quality","Result.Quality.Issues","X","Plate","Average.Cq","Diff.Cq","Order","Tech.replica","Exclude"
"K1",FALSE,"166A","1","Unknown","FAM","Undetermined",0,NA,"No Amp",FALSE,3,44,90.65496826,84.0269928,92.77223206,80.62095642,"",NA,NA,"Plate4",NA,0,11,3,"No"
"O1",FALSE,"085A","1","Unknown","FAM","Undetermined",0,1.544414677,"No Amp",FALSE,3,44,89.45825195,92.68017578,86.2363205,83.29055786,"",NA,NA,"Plate4",NA,0,15,3,"No"
"A2",FALSE,"164A","1","Unknown","FAM","Undetermined",0,NA,"No Amp",FALSE,3,44,88.62975311,92.12785339,83.7508316,80.62095642,"",NA,NA,"Plate4",NA,0,17,3,"No"
"E2",FALSE,"143A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,NA,"No Amp",FALSE,3,44,82.64194489,93.41285706,86.96871948,88.80990601,"",NA,NA,"Plate1",NA,0,21,1,"No"
"G2",FALSE,"076A","1","Unknown","FAM","Undetermined",0,NA,"No Amp",FALSE,3,44,89.73442078,81.35739136,87.89331055,93.41662598,"",NA,NA,"Plate4",NA,0,23,3,"No"
"K2",FALSE,"122A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,2.003576054,"No Amp",FALSE,3,44,75.46133423,NA,NA,NA,"",NA,NA,"Plate1",NA,0,27,1,"No"
"K2",FALSE,"125A","1","Unknown","FAM","Undetermined",0,NA,"No Amp",FALSE,3,10,87.61714935,89.45825195,92.77223206,83.93493652,"",NA,NA,"Plate4",NA,0,27,3,"No"
"M2",FALSE,"060A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,NA,"No Amp",FALSE,3,44,92.49226379,86.04812622,84.3910675,78.95957947,"",NA,NA,"Plate1",NA,0,29,1,"No"
"M2",FALSE,"116A","1","Unknown","FAM","Undetermined",0,NA,"No Amp",FALSE,3,44,85.68399048,91.94374084,82.27794647,80.52890015,"",NA,NA,"Plate4",NA,0,29,3,"No"
"A3",FALSE,"111A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,NA,"No Amp",FALSE,3,44,62.20481873,87.42901611,84.29901123,89.82255554,"",NA,NA,"Plate1",NA,0,33,1,"No"
"C3",FALSE,"092A","1","Unknown","FAM","Undetermined",0,1.502855795,"No Amp",FALSE,3,44,86.69659424,91.66757202,93.41662598,81.63356018,"",NA,NA,"Plate4",NA,0,35,3,"No"
"G3",FALSE,"EC5","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,NA,"No Amp",FALSE,3,44,90.88832092,88.04653931,80.43792725,82.27133179,"",NA,NA,"Plate2",NA,0,39,1,"No"
"I3",FALSE,"EC8","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,1.339040798,"No Amp",FALSE,3,44,86.2131424,81.26295471,70.53755951,73.47100067,"",NA,NA,"Plate2",NA,0,41,1,"No"
